Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1007661,Basket of Daisies,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,1734.0,0.0,3,0,FALSE,N,FALSE,FALSE,N
1007962,5908,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,2703.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1002105,Plantation Antiques and Interiors,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,4178.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1000851,Interior Perfection Design Group,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,1119.0,0.0,3,0,FALSE,N,FALSE,FALSE,N
1016181,KBuild Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,8200.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1016980,Blooming Keepsakes,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,667.5,0.0,1,0,FALSE,N,FALSE,FALSE,N
1024513,Sage,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,4045.0,0.0,3,0,FALSE,N,FALSE,FALSE,N
1023528,Kenilworth House,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1022413,Solsbury Hill Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,1270.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1025954,"The Rauch House, LLC/Decorating Den",DESIGN,DESIGN_FIRM,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1027114,Nahla lala dba Nahla Madison Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,6612.5,0.0,5,0,FALSE,N,FALSE,FALSE,N
1027036,BVH Architecture,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037654,Greyten LLC,DESIGN,DESIGN_FIRM,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
