Rep Detail Report V2: Hana Nassri,,,,,,,,,,,,,,,
Generated: 2025-12-22 11:59:33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
980,114,1909418.67,1854954.57,349,979,-630,-64.29,1876681.09,1852149.57,24531.52,1.32,350,1879486.09,0,0.0,0,68,48,332,1695365.62,544,156783.95,103,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,0,,,,,,,,,,
Group 2 Medium Potential: ,128,813087.16,0,0,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,0,,,,,,,,,,
Group 3 High Potential: ,95,46095.81,0,0,,,,,,,,,,
Group 3 Medium Potential: ,13,17721.2,0,2,,,,,,,,,,
Group 3 Low Potential: ,24,2666.9,0,0,,,,,,,,,,
Totals,350,1879486.09,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $480005.72 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1002706,"Shehadi, Inc.",RETAIL,SINGLE_LOCATION,Group 2 High Potential,621.0,11804.5,1,3,FALSE,N,FALSE,FALSE,N
1012879,"Dan Ruhland Designs, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,16295.5,11708.0,6,5,FALSE,N,FALSE,FALSE,N
1013134,"Eclectic Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3617.8,11661.3,4,14,FALSE,N,FALSE,FALSE,N
1022606,Radical Renovations,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,1677.5,11644.0,1,3,FALSE,N,FALSE,FALSE,N
1023084,"MEGAN PISANO DESIGN, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10742.0,11583.0,6,8,FALSE,N,FALSE,FALSE,N
1004239,Chestnut Hill Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,10330.0,11543.3,4,3,FALSE,N,FALSE,FALSE,N
1016044,Seven Lane Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,16112.0,11440.0,6,4,FALSE,N,FALSE,FALSE,N
1013674,Ali Reeve Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6237.8,11410.0,5,4,FALSE,N,FALSE,FALSE,N
1015211,McQuaide Co,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8893.0,11150.64,8,8,FALSE,N,FALSE,FALSE,N
1017202,Outside Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14659.0,11147.16,6,12,FALSE,N,FALSE,FALSE,N
1005481,"AR Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15428.0,11000.0,8,10,FALSE,N,FALSE,FALSE,N
1014895,Gala Magrina Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,10840.0,0,4,FALSE,N,FALSE,FALSE,N
1016900,Danielle Rose Design Co.,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9012.0,10820.0,3,4,FALSE,N,FALSE,FALSE,N
1034918,Bridget Hansel Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,10785.0,0,1,TRUE,N,FALSE,FALSE,N
