Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1018487,Ann Johnston Design Consultants,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,4380.0,0,2,FALSE,N,FALSE,FALSE,N
1017694,Maison Blonde,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,4380.0,0,2,FALSE,N,FALSE,FALSE,N
1017661,Key Concepts Interior Design Inc.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),798.25,4352.5,2,3,FALSE,N,FALSE,FALSE,N
1025366,NAS Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,4323.5,0,2,TRUE,N,FALSE,FALSE,N
1015591,CUSTOM HOME DECOR LTD,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),2686.0,4208.67,3,6,FALSE,N,FALSE,FALSE,N
1016184,Erik Maill̩ design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),14769.0,4115.0,4,9,FALSE,N,FALSE,FALSE,N
1020890,Magpie Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),19130.57,4061.0,3,4,FALSE,N,FALSE,FALSE,N
1010012,Lumar Decorating,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),6152.0,4025.0,6,5,FALSE,N,FALSE,FALSE,N
1025899,Marshall's Home Living,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7093.0,3990.0,7,4,FALSE,N,FALSE,FALSE,N
1014703,DMV Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3974.0,0,1,FALSE,N,FALSE,FALSE,N
1014720,Attica Furnishings Limited,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),2778.5,3920.97,2,6,FALSE,N,FALSE,FALSE,N
1018244,Warm Welcome,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),6505.0,3835.0,3,2,FALSE,N,FALSE,FALSE,N
1034787,The Cardy Group,DESIGN,HOSPITALITY,Group 2 Low Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3834.68,1,0,FALSE,N,FALSE,FALSE,N
1003324,Metro Element,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3830.6,1,3,FALSE,N,FALSE,FALSE,N
1014594,Acres Market & Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),3771.0,3735.9,5,5,FALSE,N,FALSE,FALSE,N
1009638,"Cridland Associates, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3715.0,1,2,FALSE,N,FALSE,FALSE,N
1025933,Home and Cottages,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3694.0,0,7,TRUE,N,FALSE,FALSE,N
1022810,R-EID Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),380.0,3645.0,1,2,FALSE,N,FALSE,FALSE,N
1015730,STYLEHAUS INTERIORS,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),1030.0,3587.0,1,1,FALSE,N,FALSE,FALSE,N
1013125,Dwell Living (Canada),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),10973.7,3505.0,9,1,FALSE,N,FALSE,FALSE,N
1001682,Details Home Apparel (Canada),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),190.0,3420.0,0,2,FALSE,N,FALSE,FALSE,N
1020353,IVISH INTERIORS,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),1289.5,3154.0,2,3,FALSE,N,FALSE,FALSE,N
1014862,Maison Vogue,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3034.75,0,5,FALSE,N,FALSE,FALSE,N
1035614,Scherba & Co,RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,3013.5,0,2,TRUE,N,FALSE,FALSE,N
