Rep Detail Report V2: Wesley Hood,,,,,,,,,,,,,,,
Generated: 2025-12-22 16:14:38,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
723,49,2390069.19,2198108.3,216,661,-445,-61.55,1059648.75,1718372.68,-658723.93,-29.97,278,1539384.37,1,0.0,0,45,29,214,1569464.74,406,148907.94,41,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,8,223304.21,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,95711.18,0,0,,,,,,,,,,
Group 2 High Potential: ,56,407977.12,0,0,,,,,,,,,,
Group 2 Medium Potential: ,120,757962.68,0,0,,,,,,,,,,
Group 2 Low Potential: ,5,15347.15,0,0,,,,,,,,,,
Group 3 High Potential: ,62,35324.43,0,0,,,,,,,,,,
Group 3 Medium Potential: ,3,4238.4,0,0,,,,,,,,,,
Group 3 Low Potential: ,20,-480.8,1,1,,,,,,,,,,
Totals,278,1539384.37,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $319015.39 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1017435,"MJ Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3748.0,6097.0,5,2,FALSE,N,FALSE,FALSE,N
1002936,Intuitive Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3540.0,6082.0,3,5,FALSE,N,FALSE,FALSE,N
1016850,Lauren Christopher Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6920.0,6069.0,10,8,FALSE,N,FALSE,FALSE,N
1019592,Ann Gottleib Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6016.32,2,8,FALSE,N,FALSE,FALSE,N
1007531,Marion Design Co,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,5994.0,0,2,TRUE,N,FALSE,FALSE,N
1013972,"A Tanner Design, Inc",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,42176.13,5883.7,6,4,FALSE,N,FALSE,FALSE,N
1022240,Butler Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2720.0,5775.5,2,2,FALSE,N,FALSE,FALSE,N
1023036,Isabel Schultz Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,5755.0,0,2,FALSE,N,FALSE,FALSE,N
1014262,Studio Miel,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1970.0,5516.0,0,3,FALSE,N,FALSE,FALSE,N
1003235,Wilson Lee Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,5599.9,5498.0,2,4,FALSE,N,FALSE,FALSE,N
1027690,MAED Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,5494.0,0,2,FALSE,N,FALSE,FALSE,N
1019643,Elana Designs LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,5475.0,0,2,FALSE,N,FALSE,FALSE,N
1020955,Design Details (IL),DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1690.0,5473.2,1,4,FALSE,N,FALSE,FALSE,N
1026757,"Belle Maison Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,5440.0,0,1,TRUE,N,FALSE,FALSE,N
1006002,Created by Lucy Williams,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3288.0,5428.15,6,3,FALSE,N,FALSE,FALSE,N
1021364,Nalini Arantes Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2905.0,5420.0,2,1,FALSE,N,FALSE,FALSE,N
1035922,"Mid Shore Ventures, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,5368.5,0,4,TRUE,N,FALSE,FALSE,N
1000296,Gallerie One (Chicago),RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,794.0,5338.75,2,11,FALSE,N,FALSE,FALSE,N
1014930,Diana Lombard Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3092.4,5300.96,1,6,FALSE,N,FALSE,FALSE,N
1014545,Clare Miller Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,8139.0,5173.6,3,4,FALSE,N,FALSE,FALSE,N
1013775,Vida Events and Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10310.0,5169.0,11,10,FALSE,N,FALSE,FALSE,N
1017589,Two Navy Lane LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9296.7,5103.0,8,5,FALSE,N,FALSE,FALSE,N
