Rep Detail Report V2: Erin Kennedy,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:29:07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025
120,59,233747.99,258135.61,0,27,-27,-22.5,0.0,4340.2,-4340.2,-1.68,93,253795.41,60,0.0,59,70,9
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,2,59978.18,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,108664.5,0,0,,,,,,,,,,
Group 2 High Potential: ,5,42145.9,0,0,,,,,,,,,,
Group 2 Medium Potential: ,4,33802.82,0,0,,,,,,,,,,
Group 3 High Potential: ,78,9204.01,59,0,,,,,,,,,,
Group 3 Low Potential: ,2,0.0,1,0,,,,,,,,,,
Totals,93,253795.41,60,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
1027378,SLOANE Company,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027658,Pomescikova,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027752,WALDOS DESIGNS,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027754,Fisher and Janisse Builders LLC,Design,Architect/Builder,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027759,Studio O + A,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027760,Cedar Line Staging,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027968,Clausen-Collaborative Interior Design,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027985,ObjectSpace,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1028043,OneStudio D+A,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1034788,VIP Hospitality Group,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1034829,DLR Group,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035038,Hyphn LLC,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035064,Uppercase Interior Design,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035099,Lucy Winn Studios,Design,Independent Designer,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035435,Noble House Hotels,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035587,Trillary Designs,Design,Independent Designer,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035687,Floor Solutions,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035829,JPC Architects,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036006,Philpotts Interiors,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036009,Summa International Hawaii,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036039,"Kirsti Wolfe Designs, Inc.",Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036086,Uppercase Studio,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036088,G70,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036197,Fifty Fifty Interior Design,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037077,DLC-ID,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037242,Board & Vellum,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037457,Crescent Heights,Design,Hospitality,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037588,Color Folio Design,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037618,Two Furnish,Design,Design Firm,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037905,Studio Silva,Design,Independent Designer,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1038132,Studio Luray,Design,Independent Designer,Group 3 High Potential,Erin Kennedy,Erin Kennedy,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
