Rep Detail Report V2: Enricus Coone,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
611,3397995.4,648474.14,317,274066.0,2,0.0,0,0.0,286,31,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 3 Medium Potential: ,164,228260.5,0,159,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,0,,,,,,,,,,
Group 3 Low Potential: ,325,48722.1,2,157,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,0,,,,,,,,,,
Group 3 High Potential: ,64,20306.72,0,1,,,,,,,,,,
Totals,611,648474.14,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,,,,,
1021775,Ashve Studios LLC dba Leap Interior Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,330.0,0,1,TRUE,N,FALSE,FALSE,N
1021883,Lake Country Interiors/Decor Adore Boutique,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Enricus Coone,Enricus Coone,0.0,310.0,0,1,FALSE,N,FALSE,FALSE,N
1021552,The Linen Tree,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,290.0,0,1,TRUE,N,FALSE,FALSE,N
1025143,Hunt and Gather,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,280.0,0,1,TRUE,N,FALSE,FALSE,N
1018531,JC Studios,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,196.0,0,1,TRUE,N,FALSE,FALSE,N
1020234,ULAH Interiors + Design,RETAIL,MULTIPLE_LOCATIONS,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,179.4,0,2,TRUE,N,FALSE,FALSE,N
1016016,h a b i t a t g r e e n w i c h,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,142.0,0,1,TRUE,N,FALSE,FALSE,N
1022353,Ali Vollmer Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,100.0,0,1,TRUE,N,FALSE,FALSE,N
1015765,Mason james designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,100.0,0,0,TRUE,N,FALSE,FALSE,N
1023532,Emilia Decor,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,100.0,0,1,TRUE,N,FALSE,FALSE,N
1020002,Raashi Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,94.0,0,1,TRUE,N,FALSE,FALSE,N
1025105,"Imagine, Dream and Believe, LLC",DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,82.2,0,3,TRUE,N,FALSE,FALSE,N
1016097,Adapt Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,66.0,0,1,TRUE,N,FALSE,FALSE,N
1020748,Z Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,25.0,0,0,TRUE,N,FALSE,FALSE,N
1016422,Presmanes Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,25.0,0,0,TRUE,N,FALSE,FALSE,N
1002408,Modern History Collection,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1002025,Interior Re-Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,150.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1003610,Bella Home Furnishings,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003153,"Lemontree, LLC",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015532,Direct line carpet,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015500,Farmhouse,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015453,SCIOTO VALLEY,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015403,The Interior Design Studio,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015160,Teak + Table,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015135,Isabella,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015130,Hancock's of Paducah,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1014624,"Wildcat Mattress Distributions, Inc",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1013043,Why Hello! Modern Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,560.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
